al,co,cr,cu,fe,ni
38,15,26,5,11,5
47,18,12,8,7,8
46,12,15,9,10,8
44,10,23,6,7,10
39,16,22,8,9,6
43,24,14,0,12,7
43,19,15,7,6,10
43,22,12,6,12,5
43,27,14,0,11,5
40,20,16,5,12,7
39,15,27,7,7,5
45,11,17,9,10,8
44,12,17,6,10,11
44,17,12,7,14,6
46,11,16,8,10,9
39,22,20,7,5,7
41,15,18,9,10,7
47,9,19,6,13,6
40,14,20,7,14,5
40,15,19,6,12,8
41,16,21,8,5,9
46,9,24,7,9,5
40,13,22,5,12,8
46,20,11,6,9,8
43,25,14,0,13,5
44,14,15,10,10,7
43,10,20,7,12,8
37,20,28,0,10,5
42,17,14,7,12,8
41,13,19,8,12,7
46,15,13,7,9,10
47,16,12,5,10,10
40,19,20,0,14,7
45,11,24,8,5,7
45,14,16,11,9,5
42,14,18,10,10,6
46,13,14,9,10,8
40,12,28,5,9,6
42,13,26,8,5,6
43,10,26,6,7,8
44,11,19,6,9,11
47,12,15,5,10,11
43,18,13,9,11,6
45,17,13,7,8,10
40,22,16,7,9,6
40,21,20,9,5,5
38,24,23,0,6,9
40,13,24,8,10,5
40,12,25,5,10,8
46,15,13,9,9,8
39,21,18,7,9,6
40,14,21,5,11,9
41,22,17,8,5,7
41,13,20,8,10,8
44,21,15,10,5,5
42,10,23,5,13,7
39,17,29,0,6,9
47,14,17,10,5,7
38,20,24,7,5,6
38,16,24,5,10,7
46,14,13,7,15,5
40,19,16,6,14,5
45,18,15,5,5,12
44,16,15,8,7,10
41,15,21,8,6,9
46,15,13,5,16,5
47,16,13,7,7,10
46,13,16,9,7,9
39,16,21,6,10,8
44,20,13,7,7,9
46,16,15,8,5,10
38,19,21,7,10,5
45,15,13,8,10,9
44,13,19,9,6,9
43,14,18,7,7,11
46,19,11,8,10,6
41,20,17,6,6,10
42,10,25,6,12,5
46,9,24,7,8,6
43,15,17,9,7,9
40,19,19,7,6,9
40,12,26,6,9,7
42,22,16,0,10,10
40,19,24,0,5,12
47,9,19,7,10,8
38,17,23,6,9,7
38,20,31,0,6,5
45,11,19,10,10,5
43,12,25,8,5,7
43,15,17,5,8,12
44,13,17,7,8,11
42,16,15,9,11,7
40,21,19,9,6,5
42,19,14,6,10,9
42,17,16,10,9,6
42,13,20,10,10,5
46,15,12,7,14,6
41,11,27,6,10,5
45,12,19,8,6,10
38,20,20,5,11,6
46,14,13,5,15,7
44,10,26,6,6,8
47,10,21,7,6,9
37,19,24,5,9,6
38,18,26,7,6,5
40,14,25,7,6,8
40,29,19,0,5,7
38,15,26,5,10,6
41,16,16,6,13,8
46,11,17,5,16,5
44,9,21,6,13,7
45,13,16,7,8,11
43,18,13,6,11,9
47,13,14,7,9,10
46,15,15,9,6,9
40,12,28,5,10,5
44,11,24,6,5,10
43,13,30,0,5,9
38,21,23,0,13,5
44,15,13,6,14,8
47,11,16,9,10,7
41,16,26,0,5,12
43,11,28,6,6,6
45,12,15,5,14,9
43,11,24,6,6,10
44,15,19,11,6,5
42,20,17,0,10,11
46,11,19,10,9,5
45,15,13,5,12,10
45,17,15,11,7,5
38,18,26,6,5,7
41,11,24,6,13,5
39,20,18,6,10,7
46,11,16,8,14,5
41,16,16,7,12,8
41,21,14,6,13,5
43,16,17,7,6,11
45,12,15,6,12,10
40,15,23,7,6,9
43,14,20,10,6,7
45,21,11,5,13,5
47,13,13,8,12,7
40,14,30,0,9,7
41,12,23,5,9,10
43,10,26,7,8,6
42,11,25,7,7,8
37,23,25,0,8,7
38,15,27,5,9,6
45,16,13,7,9,10
39,14,25,7,9,6
37,20,29,0,9,5
39,14,26,7,9,5
39,17,20,8,11,5
42,13,21,10,9,5
44,12,17,10,12,5
38,20,30,0,5,7
40,15,21,7,8,9
46,17,13,9,7,8
46,12,17,10,8,7
46,14,16,11,8,5
45,9,24,7,8,7
40,17,19,9,9,6
44,13,20,8,5,10
44,14,16,7,8,11
37,18,26,5,8,6
42,12,25,0,11,10
45,22,12,8,7,6
42,23,18,0,5,12
47,12,14,7,11,9
42,13,29,6,5,5
40,19,19,9,7,6
46,10,17,8,11,8
44,12,21,10,7,6
41,17,18,5,8,11
44,20,13,8,7,8
40,12,25,5,13,5
40,18,17,5,12,8
41,16,23,0,8,12
43,24,14,0,13,6
40,15,25,0,15,5
45,18,13,5,8,11
41,11,23,6,13,6
39,18,22,5,6,10
42,21,13,7,11,6
42,11,20,7,14,6
40,17,19,5,9,10
41,26,16,0,12,5
47,11,19,6,6,11
47,17,11,6,13,6
46,12,20,10,6,6
46,14,15,9,7,9
43,18,17,0,10,12
44,11,22,7,6,10
45,11,20,10,9,5
46,12,21,10,6,5
39,14,28,5,7,7
42,14,16,9,13,6
40,12,24,5,12,7
41,17,16,9,11,6
41,11,28,5,10,5
44,22,13,7,6,8
46,18,11,6,11,8
37,24,29,0,5,5
47,15,13,10,10,5
46,19,14,10,5,6
47,14,15,5,7,12
39,23,20,0,10,8
46,10,25,6,5,8
46,12,17,8,7,10
41,12,25,7,7,8
43,11,24,7,6,9
44,13,16,5,17,5
41,14,28,7,5,5
42,17,16,5,9,11
44,13,15,7,16,5
42,19,15,9,8,7
39,20,18,7,10,6
43,13,19,10,8,7
42,15,16,6,11,10
42,24,15,0,12,7
40,24,19,0,7,10
44,18,13,10,10,5
38,22,21,5,6,8
42,11,27,7,8,5
44,14,18,6,6,12
44,12,19,8,7,10
37,22,24,6,6,5
39,18,24,8,5,6
43,15,20,10,5,7
47,11,20,9,6,7
38,26,21,0,9,6
39,15,28,6,6,6
45,10,18,5,15,7
37,21,27,0,8,7
39,14,24,7,10,6
43,19,15,10,7,6
42,16,15,5,16,6
39,16,24,8,7,6
43,12,19,10,11,5
46,19,13,5,6,11
41,13,29,0,8,9
44,18,12,5,14,7
40,14,21,8,10,7
45,13,14,8,11,9
42,22,15,8,6,7
40,12,27,6,10,5
46,10,24,8,7,5
41,17,20,6,5,11
45,21,12,7,7,8
45,11,17,5,16,6
44,16,13,6,16,5
44,12,16,6,16,6
38,21,20,5,9,7
45,15,15,11,9,5
39,16,23,6,7,9
44,13,20,7,5,11
44,11,29,5,6,5
43,12,31,0,8,6
46,17,12,9,9,7
44,19,12,5,15,5
43,10,22,8,12,5
42,15,17,5,10,11
43,26,14,0,10,7
42,10,27,5,11,5
41,27,16,0,11,5
42,10,26,6,11,5
43,9,24,5,12,7
47,16,12,5,15,5
45,12,24,9,5,5
38,19,31,0,7,5
40,13,23,8,11,5
45,18,12,7,9,9
46,11,15,7,13,8
44,14,15,6,10,11
44,9,26,6,9,6
43,13,17,5,17,5
44,17,18,11,5,5
38,21,23,7,5,6
43,13,19,8,7,10
40,23,18,0,14,5
46,15,15,11,8,5
41,13,20,5,16,5
42,16,16,7,9,10
45,18,13,8,7,9
44,14,15,5,17,5
40,16,19,9,11,5
42,12,30,0,11,5
43,21,16,10,5,5
39,26,19,0,10,6
41,13,25,0,13,8
43,15,17,7,7,11
41,15,18,5,11,10
46,14,13,6,11,10
43,10,20,6,14,7
41,15,17,6,16,5
43,15,14,9,12,7
43,12,22,0,13,10
45,10,22,9,9,5
47,11,15,8,12,7
44,19,14,10,7,6
38,19,27,0,7,9
42,11,21,6,15,5
42,14,25,9,5,5
37,21,28,0,7,7
44,11,18,6,16,5
42,13,20,6,8,11
40,17,19,7,8,9
38,17,29,5,6,5
41,14,19,5,11,10
43,19,13,9,10,6
39,29,20,0,6,6
47,12,16,10,9,6
46,10,21,9,8,6
44,17,16,7,5,11
39,19,18,7,12,5
40,12,27,6,9,6
41,17,20,0,12,10
37,24,24,0,9,6
40,19,21,9,5,6
44,21,14,6,5,10
45,16,12,8,14,5
39,16,23,7,7,8
39,18,20,5,9,9
38,25,21,0,11,5
43,13,22,0,17,5
45,10,23,6,6,10
40,14,30,0,11,5
43,13,17,5,11,11
45,10,20,9,9,7
41,11,23,5,13,7
42,10,23,6,13,6
45,10,18,6,15,6
44,13,15,7,11,10
45,9,26,6,8,6
40,15,19,5,14,7
41,15,20,10,9,5
47,15,12,5,14,7
43,12,31,0,9,5
45,9,20,5,14,7
40,18,22,9,5,6
47,10,23,6,5,9
45,12,16,10,12,5
43,13,18,10,9,7
44,12,22,10,7,5
40,14,21,6,10,9
46,9,21,8,10,6
47,9,20,7,12,5
41,14,26,8,5,6
47,15,13,5,9,11
44,15,13,9,13,6
44,9,27,5,9,6
43,21,12,7,12,5
38,17,24,7,8,6
41,20,18,5,5,11
45,17,13,5,9,11
42,21,15,9,7,6
45,11,17,5,11,11
40,15,29,6,5,5
42,20,14,6,9,9
41,12,25,8,8,6
42,14,32,0,7,5
45,17,12,7,10,9
42,16,22,0,7,13
42,10,25,5,13,5
42,13,23,9,6,7
45,13,15,10,10,7
44,12,18,10,9,7
42,17,15,5,11,10
40,23,19,0,8,10
45,20,11,5,12,7
43,22,15,9,5,6
43,11,21,7,8,10
37,21,26,0,11,5
38,18,25,7,6,6
39,15,26,6,6,8
44,14,19,6,5,12
42,12,22,9,8,7
43,16,17,9,6,9
43,11,28,0,13,5
41,14,18,5,15,7
46,18,11,8,11,6
46,10,17,7,14,6
41,14,30,5,5,5
46,10,19,9,9,7
43,14,22,0,8,13
47,19,13,10,6,5
45,9,26,6,9,5
39,16,21,8,11,5
45,22,13,8,5,7
46,22,11,7,8,6
40,17,17,6,13,7
44,20,14,5,6,11
46,11,16,7,10,10
42,13,22,6,6,11
40,14,26,8,7,5
45,10,19,9,10,7
43,27,14,0,10,6
44,15,17,6,6,12
45,9,26,5,7,8
42,10,24,5,10,9
43,13,16,6,12,10
42,11,25,5,7,10
45,22,11,7,10,5
41,19,19,10,6,5
47,17,13,8,6,9
42,12,26,6,5,9
42,11,21,7,10,9
46,20,12,5,7,10
44,9,24,7,9,7
45,10,19,5,10,11
41,13,19,7,15,5
47,12,17,5,7,12
42,12,25,8,6,7
40,15,28,0,7,10
45,18,15,10,5,7
46,18,13,8,6,9
43,22,12,6,11,6
46,18,11,5,13,7
47,11,22,9,6,5
41,11,23,6,11,8
37,19,27,5,6,6
41,14,25,0,9,11
44,14,14,6,16,6
41,13,23,9,8,6
40,15,22,6,7,10
47,19,13,9,5,7
46,11,18,10,10,5
40,16,18,6,12,8
43,13,19,5,8,12
40,14,24,8,7,7
44,17,13,10,11,5
46,12,18,8,6,10
41,22,14,5,13,5
39,20,21,7,5,8
42,12,21,5,9,11
47,11,16,6,15,5
38,17,22,6,12,5
42,13,19,5,10,11
40,17,18,5,11,9
44,9,21,7,12,7
46,10,18,9,11,6
43,14,20,7,5,11
44,12,19,10,8,7
45,19,11,6,13,6
39,16,24,6,6,9
45,10,20,7,8,10
44,21,13,5,7,10
37,22,23,6,7,5
45,13,16,5,9,12
40,18,19,8,7,8
47,10,20,9,9,5
41,18,15,6,12,8
37,22,25,0,11,5
47,15,13,7,8,10
42,11,28,6,7,6
44,18,12,6,15,5
45,22,11,5,10,7
41,13,29,6,6,5
46,17,16,11,5,5
45,20,11,5,13,6
45,14,13,7,15,6
45,19,11,6,12,7
41,15,21,10,8,5
47,17,11,6,11,8
44,22,13,9,7,5
47,10,19,9,9,6
41,15,17,5,15,7
45,22,12,5,7,9
41,22,17,0,11,9
43,9,26,5,10,7
37,20,23,5,9,6
39,16,26,0,11,8
47,10,17,6,10,10
44,10,19,6,15,6
39,13,27,5,10,6
43,12,22,0,15,8
45,18,13,10,8,6
42,18,20,0,7,13
43,20,15,0,13,9
42,16,16,10,10,6
40,16,24,9,6,5
41,17,15,7,14,6
41,14,19,9,10,7
47,11,15,6,14,7
42,15,15,8,15,5
39,17,23,5,6,10
47,10,23,5,5,10
37,23,28,0,5,7
43,12,20,10,9,6
43,11,19,9,11,7
46,21,11,8,9,5
43,20,14,6,7,10
47,16,15,10,5,7
43,12,23,0,16,6
42,20,16,10,7,5
44,19,14,7,6,10
43,11,20,7,9,10
46,19,12,7,7,9
44,11,24,7,5,9
42,15,15,6,15,7
39,22,17,5,12,5
41,11,23,5,12,8
44,17,12,8,12,7
45,15,13,6,16,5
44,10,25,6,6,9
43,9,24,6,11,7
41,13,24,9,8,5
46,19,11,5,14,5
40,14,25,5,6,10
42,20,16,5,6,11
46,18,11,8,12,5
41,17,18,8,7,9
40,13,23,8,10,6
42,20,13,6,14,5
45,17,15,8,5,10
46,10,18,6,15,5
47,12,14,7,14,6
41,18,19,8,5,9
45,11,23,9,6,6
42,19,18,10,5,6
40,15,23,6,6,10
41,21,14,7,12,5
46,21,12,6,6,9
47,10,19,9,10,5
47,12,20,10,6,5
45,12,18,9,7,9
46,12,14,8,12,8
46,10,19,7,8,10
43,12,24,9,6,6
43,16,18,11,7,5
45,9,25,5,7,9
40,17,22,5,5,11
40,13,23,7,9,8
41,12,21,8,11,7
42,18,16,10,8,6
44,10,19,5,15,7
37,21,24,5,6,7
45,14,13,6,13,9
45,14,13,9,13,6
46,9,23,6,7,9
39,13,26,5,11,6
43,12,23,9,6,7
45,9,20,7,13,6
38,18,21,6,12,5
40,20,20,0,10,10
41,11,27,5,8,8
47,12,19,5,5,12
44,14,19,11,7,5
38,19,23,6,6,8
41,13,26,6,5,9
44,13,17,5,9,12
37,20,28,0,9,6
39,22,19,6,6,8
44,17,14,6,8,11
44,10,21,9,10,6
45,11,19,10,9,6
41,15,22,7,5,10
41,13,19,8,14,5
39,16,20,6,13,6
42,15,15,6,14,8
41,15,18,6,10,10
41,26,18,0,5,10
41,13,20,9,12,5
45,13,18,6,6,12
40,23,20,0,6,11
42,13,29,0,6,10
41,12,21,6,11,9
44,11,17,9,12,7
47,10,18,5,15,5
45,12,15,5,15,8
39,15,22,7,10,7
45,10,19,7,9,10
42,21,13,6,11,7
45,10,23,7,6,9
43,15,15,5,17,5
43,12,19,10,10,6
46,10,17,8,13,6
43,10,21,7,10,9
40,20,18,5,7,10
40,18,21,5,5,11
42,13,28,7,5,5
39,18,28,0,5,10
40,16,23,0,12,9
40,17,17,7,12,7
47,10,26,6,6,5
42,31,17,0,5,5
40,14,20,6,12,8
44,19,12,9,11,5
42,14,21,0,13,10
47,15,12,7,14,5
39,20,24,0,6,11
42,13,17,6,13,9
40,12,24,5,13,6
43,16,16,8,7,10
46,15,18,11,5,5
42,18,14,9,11,6
47,11,15,7,11,9
39,27,19,0,9,6
46,19,12,8,7,8
44,16,15,9,7,9
40,22,17,5,7,9
41,13,30,0,8,8
44,16,17,6,5,12
47,13,13,6,12,9
41,14,18,6,16,5
41,12,24,8,8,7
39,16,31,0,9,5
41,20,16,5,8,10
41,14,19,6,10,10
44,15,13,6,15,7
39,15,26,5,6,9
45,15,13,9,10,8
41,15,17,5,14,8
41,15,17,9,13,5
39,14,27,5,7,8
41,13,27,0,9,10
38,18,29,5,5,5
44,11,17,5,14,9
46,10,24,6,5,9
40,19,20,0,15,6
38,16,25,6,8,7
45,14,13,9,12,7
45,13,19,9,5,9
38,16,27,6,7,6
42,14,16,7,12,9
39,18,23,0,13,7
39,21,21,8,5,6
43,18,18,0,8,13
40,28,18,0,7,7
41,13,29,5,5,7
46,14,13,5,12,10
42,13,17,8,15,5
39,22,17,6,11,5
40,13,24,8,9,6
40,13,24,6,8,9
40,17,18,6,10,9
43,14,16,5,11,11
42,11,20,8,12,7
46,11,23,9,6,5
42,15,16,5,12,10
44,10,19,5,12,10
46,14,14,10,9,7
44,10,21,5,9,11
41,15,24,9,5,6
44,10,19,6,11,10
40,13,24,7,8,8
46,14,18,11,6,5
39,17,27,0,7,10
40,15,22,8,7,8
45,15,16,6,6,12
46,13,13,7,13,8
41,22,16,7,6,8
43,12,17,6,16,6
44,16,19,11,5,5
42,10,25,5,9,9
45,21,12,9,8,5
47,13,14,5,10,11
44,13,15,5,13,10
40,17,17,6,15,5
42,13,21,9,7,8
43,15,19,0,11,12
40,16,18,5,14,7
42,19,17,10,6,6
42,17,15,6,10,10
47,10,18,5,9,11
42,14,16,6,13,9
43,11,22,9,8,7
42,14,17,9,10,8
38,20,20,6,10,6
45,13,14,5,14,9
43,16,13,7,14,7
45,16,12,8,11,8
42,28,15,0,10,5
40,16,25,0,8,11
37,19,26,6,7,5
42,13,17,9,13,6
41,12,21,6,15,5
45,12,15,9,11,8
41,14,23,0,14,8
41,18,16,7,9,9
40,15,22,9,8,6
47,14,16,8,5,10
46,14,17,6,5,12
41,19,15,7,10,8
42,20,13,6,12,7
47,9,18,6,12,8
43,10,22,5,15,5
43,21,15,0,16,5
45,14,15,7,8,11
45,13,14,6,12,10
42,18,14,6,11,9
38,27,21,0,8,6
39,17,24,7,5,8
40,15,19,5,15,6
47,17,13,7,6,10
37,21,26,0,10,6
43,11,18,6,15,7
41,11,25,5,9,9
39,22,23,0,5,11
39,22,18,7,8,6
47,11,16,9,12,5
38,18,22,7,9,6
43,20,15,0,15,7
39,14,23,6,11,7
39,16,27,0,9,9
47,9,22,6,7,9
46,13,15,8,8,10
45,15,19,11,5,5
42,12,28,0,8,10
41,19,18,10,7,5
45,14,19,11,6,5
40,13,25,8,9,5
44,17,12,6,14,7
42,10,25,7,10,6
46,9,20,8,11,6
37,18,25,5,9,6
37,21,22,5,10,5
46,10,17,5,12,10
45,11,16,9,12,7
43,30,15,0,7,5
41,20,16,9,8,6
39,19,20,7,7,8
45,9,22,8,10,6
47,22,11,5,7,8
46,17,15,11,6,5
38,20,21,7,8,6
46,9,20,8,10,7
43,18,15,6,7,11
41,12,21,5,15,6
46,14,13,8,10,9
41,12,20,7,13,7
44,22,12,7,8,7
45,12,17,7,8,11
41,16,18,10,10,5
46,11,16,7,15,5
45,14,14,5,11,11
43,13,15,8,14,7
38,19,21,6,9,7
44,17,12,7,12,8
39,13,27,5,11,5
40,16,32,0,7,5
41,19,16,5,9,10
40,14,20,6,15,5
41,11,24,7,12,5
45,13,14,8,15,5
46,12,14,7,12,9
46,10,18,5,10,11
47,20,12,5,6,10
46,8,23,5,10,8
46,10,22,5,6,11
45,19,11,7,13,5
41,15,22,0,12,10
43,11,29,5,6,6
43,16,14,6,11,10
42,12,19,6,16,5
42,19,14,9,10,6
46,10,17,6,11,10
42,12,21,7,8,10
44,15,13,9,12,7
46,18,11,5,12,8
41,12,28,5,6,8
47,11,16,5,10,11
47,11,16,7,9,10
44,17,15,5,7,12
40,14,28,0,9,9
45,9,21,8,11,6
41,14,24,5,5,11
46,10,24,5,5,10
41,15,17,6,12,9
46,20,11,8,9,6
42,16,20,0,10,12
44,11,17,6,12,10
38,22,19,5,11,5
43,10,25,6,7,9
40,15,21,9,9,6
45,12,21,10,6,6
44,16,14,10,9,7
45,13,14,9,11,8
46,9,19,5,14,7
43,18,17,10,5,7
40,17,18,9,11,5
37,19,24,6,9,5
40,15,19,7,11,8
44,9,22,5,14,6
39,18,23,0,14,6
42,13,19,10,11,5
44,9,21,7,11,8
44,11,24,9,7,5
43,13,22,5,5,12
45,14,13,6,15,7
43,10,21,7,14,5
42,19,13,7,13,6
42,17,18,5,6,12
43,16,13,8,14,6
42,13,30,0,6,9
41,19,16,7,8,9
40,15,20,9,11,5
44,11,17,9,13,6
37,20,26,6,6,5
46,12,14,6,14,8
45,11,17,6,16,5
46,11,20,10,8,5
47,13,13,8,13,6
47,9,19,5,10,10
46,18,12,9,8,7
44,10,20,9,11,6
38,19,26,7,5,5
42,18,15,10,10,5
43,11,27,7,6,6
45,11,18,10,10,6
43,14,16,10,10,7
42,19,17,6,5,11
37,23,29,0,5,6
41,15,19,7,8,10
39,17,24,5,5,10
43,16,13,8,13,7
39,25,19,0,12,5
44,9,21,6,11,9
41,19,20,0,8,12
41,27,16,0,10,6
42,15,15,8,12,8
46,17,12,6,9,10
46,11,18,10,9,6
41,12,25,5,7,10
39,16,20,7,13,5
42,14,16,9,12,7
45,11,16,6,12,10
42,10,24,6,13,5
42,15,19,5,7,12
42,15,15,9,13,6
44,14,16,5,9,12
46,10,18,9,10,7
41,11,24,5,10,9
43,10,21,5,11,10
43,17,17,0,17,6
44,11,17,8,11,9
47,8,23,5,10,7
44,14,14,6,12,10
43,13,17,6,10,11
43,18,16,0,13,10
39,21,19,5,7,9
47,16,13,9,7,8
43,9,26,5,11,6
45,9,21,8,10,7
39,16,20,6,14,5
41,15,17,8,11,8
44,22,13,6,6,9
45,9,21,7,13,5
43,13,20,8,6,10
45,16,12,6,12,9
40,14,29,6,6,5
45,11,16,5,14,9
46,13,18,9,5,9
42,14,16,7,16,5
39,21,20,8,6,6
45,11,18,10,11,5
38,17,22,6,11,6
43,9,25,6,10,7
43,12,17,6,12,10
44,20,12,8,9,7
38,18,24,6,6,8
42,12,19,9,11,7
40,19,19,6,6,10
44,13,15,5,16,7
37,22,25,0,10,6
41,13,25,0,12,9
44,11,18,5,11,11
45,13,18,11,8,5
42,14,17,7,10,10
45,12,15,7,11,10
46,10,20,9,8,7
38,17,22,5,13,5
38,25,21,0,10,6
42,14,16,9,14,5
45,12,17,5,9,12
44,12,15,8,14,7
41,17,15,7,13,7
43,11,29,0,12,5
42,12,26,5,5,10
39,14,23,5,12,7
43,11,20,5,10,11
44,19,12,5,11,9
40,17,24,9,5,5
43,21,12,7,11,6
43,22,12,7,11,5
44,9,26,6,10,5
45,10,19,9,12,5
40,16,18,5,15,6
44,18,12,9,12,5
42,21,13,5,12,7
43,10,21,5,15,6
38,19,24,6,5,8
45,10,22,9,8,6
38,17,28,6,6,5
44,12,23,9,5,7
45,11,16,8,11,9
46,9,21,8,9,7
41,19,15,8,10,7
43,10,28,5,7,7
40,19,23,0,6,12
40,15,30,5,5,5
43,17,17,7,5,11
46,17,11,7,12,7
40,13,23,6,9,9
46,12,16,10,9,7
47,10,27,5,6,5
43,19,16,0,17,5
47,12,19,10,6,6
45,14,14,10,10,7
41,14,24,9,6,6
44,17,15,8,6,10
40,19,16,6,12,7
41,14,30,0,6,9
44,16,15,11,9,5
42,15,32,0,5,6
43,13,16,5,16,7
46,18,12,6,8,10
42,16,18,10,7,7
42,13,23,0,16,6
46,9,22,8,9,6
39,19,21,5,6,10
46,15,12,8,11,8
39,16,24,7,6,8
44,10,21,9,11,5
40,21,22,0,5,12
45,9,20,6,14,6
41,20,18,0,11,10
41,15,22,0,16,6
46,12,14,6,13,9
44,9,24,7,11,5
43,13,20,10,7,7
41,18,21,10,5,5
38,16,25,7,9,5
44,11,17,5,15,8
45,9,25,6,7,8
43,16,14,10,12,5
39,18,19,8,11,5
37,20,27,5,5,6
40,21,18,8,6,7
40,17,21,5,6,11
42,19,18,0,9,12
37,19,25,5,7,7
44,10,25,5,6,10
41,11,28,5,8,7
42,11,29,5,7,6
47,17,12,9,8,7
46,11,19,5,7,12
45,13,15,8,9,10
42,14,18,6,9,11
41,22,16,6,6,9
37,21,25,5,5,7
38,17,29,0,10,6
47,10,18,9,10,6
44,16,14,6,9,11
46,15,12,6,12,9
46,12,15,5,11,11
40,16,27,0,6,11
45,13,14,9,14,5
41,20,15,7,9,8
42,12,19,5,16,6
47,17,11,8,11,6
44,15,13,8,15,5
39,17,19,6,13,6
47,17,11,7,13,5
42,13,25,9,6,5
41,15,19,10,10,5
46,10,23,8,6,7
46,8,22,5,11,8
45,14,16,10,7,8
40,20,16,8,11,5
47,10,20,9,8,6
47,18,11,5,14,5
47,10,22,8,6,7
46,10,18,7,9,10
42,17,18,0,16,7
46,9,19,7,13,6
45,13,14,5,15,8
40,21,19,0,11,9
41,14,21,8,7,9
42,12,19,6,11,10
47,13,13,8,11,8
44,11,22,8,6,9
40,12,24,5,11,8
43,21,13,9,9,5
39,19,20,6,7,9
42,18,16,9,7,8
40,16,23,9,6,6
46,9,20,7,13,5
47,17,11,5,13,7
38,17,23,7,9,6
41,13,26,0,10,10
46,9,23,5,7,10
39,19,22,0,13,7
45,13,20,10,5,7
41,22,18,0,8,11
45,11,20,5,7,12
45,15,13,5,16,6
44,22,14,9,5,6
45,18,16,11,5,5
37,20,23,6,9,5
43,25,15,0,7,10
46,16,15,9,5,9
44,10,18,7,14,7
39,22,19,8,7,5
40,14,20,5,14,7
45,13,17,11,9,5
45,10,28,5,6,6
38,15,26,6,10,5
45,17,12,9,10,7
37,20,29,0,8,6
42,14,21,5,6,12
45,16,16,6,5,12
45,12,16,10,10,7
43,11,26,8,7,5
46,9,20,7,9,9
41,20,14,7,13,5
42,28,16,0,6,8
43,17,17,11,7,5
44,11,22,6,6,11
40,15,24,9,7,5
42,12,18,6,15,7
38,19,24,5,5,9
40,18,21,0,16,5
44,20,15,10,5,6
45,15,16,10,6,8
45,13,19,6,5,12
37,21,30,0,7,5
39,13,26,5,10,7
43,16,15,10,9,7
42,20,15,6,7,10
47,17,11,5,12,8
41,18,18,8,6,9
39,25,19,0,11,6
37,19,28,5,6,5
44,9,23,7,12,5
44,10,22,9,10,5
43,10,20,7,14,6
40,12,25,7,10,6
44,15,13,6,13,9
42,15,16,10,12,5
44,9,27,5,8,7
46,11,15,8,12,8
37,27,25,0,5,6
44,10,24,8,7,7
38,16,29,5,7,5
39,19,22,0,14,6
41,12,27,5,6,9
40,16,20,6,8,10
43,10,20,8,12,7
39,17,19,7,13,5
39,20,20,6,6,9
41,14,23,0,13,9
42,14,17,5,17,5
45,12,15,8,15,5
45,10,17,7,14,7
45,20,12,9,8,6
47,13,13,7,14,6
42,13,22,10,8,5
46,11,19,10,8,6
38,16,26,5,7,8
43,16,15,6,9,11
38,21,31,0,5,5
45,18,12,5,10,10
43,24,14,0,11,8
45,15,13,10,12,5
42,14,17,10,12,5
43,9,23,6,12,7
42,18,14,5,16,5
44,12,17,10,10,7
40,17,22,0,16,5
42,14,22,0,17,5
43,9,25,6,11,6
47,15,12,7,10,9
39,24,21,0,6,10
41,17,15,8,13,6
44,18,16,11,6,5
43,14,15,6,12,10
40,15,19,8,11,7
38,17,29,0,11,5
43,14,20,0,11,12
47,8,22,5,10,8
42,13,20,10,9,6
42,17,15,10,11,5
46,11,15,7,12,9
42,10,23,5,11,9
42,12,28,6,5,7
40,14,26,0,13,7
39,18,22,8,6,7
45,11,22,7,5,10
43,14,16,6,10,11
40,12,24,6,13,5
43,21,13,8,8,7
41,13,26,8,6,6
44,14,17,10,7,8
41,14,29,0,6,10
42,15,21,0,10,12
44,9,27,5,10,5
43,17,14,10,10,6
39,19,25,0,6,11
46,17,11,7,13,6
43,31,16,0,5,5
39,17,19,6,14,5
39,20,21,5,5,10
46,18,11,6,14,5
39,14,26,7,8,6
43,17,16,5,7,12
45,9,20,5,11,10
44,13,14,7,14,8
42,11,21,5,11,10
39,15,21,6,13,6
42,16,14,7,14,7
47,13,16,8,6,10
42,10,27,6,9,6
38,19,28,0,6,9
38,18,21,6,11,6
46,10,22,9,8,5
41,11,27,6,8,7
47,21,12,9,6,5
44,16,15,5,8,12
42,14,31,0,5,8
45,11,16,9,13,6
44,11,20,10,10,5
44,9,26,6,8,7
42,19,16,7,6,10
47,16,12,9,9,7
47,13,13,7,11,9
42,15,18,10,8,7
42,10,22,6,13,7
44,12,20,8,6,10
43,15,14,6,16,6
39,16,26,0,14,5
38,21,20,7,9,5
41,13,26,5,5,10
41,19,20,10,5,5
42,13,17,9,12,7
41,11,24,5,14,5
45,10,17,6,14,8
45,20,13,10,7,5
47,21,12,7,5,8
39,18,31,0,5,7
45,9,21,6,14,5
38,18,23,6,7,8
39,13,26,5,12,5
40,23,18,0,11,8
47,10,16,7,12,8
45,12,22,10,6,5
45,12,15,5,13,10
43,12,18,5,11,11
44,14,17,6,7,12
43,20,14,9,7,7
43,11,22,7,7,10
41,15,31,0,5,8
44,13,14,8,13,8
44,18,17,11,5,5
38,18,30,0,7,7
47,10,21,5,6,11
38,18,26,0,11,7
43,14,19,0,15,9
41,19,19,0,10,11
44,16,13,5,16,6
40,16,30,0,5,9
47,11,20,7,5,10
39,23,21,0,7,10
47,15,13,10,9,6
43,18,16,10,6,7
